record_id,region,period,product,revenue,unit,scope,status
R01-202512-A,区域01,2025-12,核心业务,99,万元,合并经营收入,synthetic
R01-202512-B,区域01,2025-12,试点业务,10,万元,合并经营收入,synthetic
R02-202401-A,区域02,2024-01,核心业务,77,万元,合并经营收入,synthetic
R02-202401-B,区域02,2024-01,试点业务,6,万元,合并经营收入,synthetic
R02-202402-A,区域02,2024-02,核心业务,80,万元,合并经营收入,synthetic
R02-202402-B,区域02,2024-02,试点业务,6,万元,合并经营收入,synthetic
R02-202403-A,区域02,2024-03,核心业务,83,万元,合并经营收入,synthetic
R02-202403-B,区域02,2024-03,试点业务,7,万元,合并经营收入,synthetic
R02-202404-A,区域02,2024-04,核心业务,86,万元,合并经营收入,synthetic
R02-202404-B,区域02,2024-04,试点业务,7,万元,合并经营收入,synthetic
R02-202405-A,区域02,2024-05,核心业务,89,万元,合并经营收入,synthetic
R02-202405-B,区域02,2024-05,试点业务,7,万元,合并经营收入,synthetic
R02-202406-A,区域02,2024-06,核心业务,92,万元,合并经营收入,synthetic
R02-202406-B,区域02,2024-06,试点业务,7,万元,合并经营收入,synthetic
R02-202407-A,区域02,2024-07,核心业务,95,万元,合并经营收入,synthetic
R02-202407-B,区域02,2024-07,试点业务,8,万元,合并经营收入,synthetic
R02-202408-A,区域02,2024-08,核心业务,98,万元,合并经营收入,synthetic
R02-202408-B,区域02,2024-08,试点业务,8,万元,合并经营收入,synthetic
R02-202409-A,区域02,2024-09,核心业务,101,万元,合并经营收入,synthetic
R02-202409-B,区域02,2024-09,试点业务,8,万元,合并经营收入,synthetic
R02-202410-A,区域02,2024-10,核心业务,104,万元,合并经营收入,synthetic
R02-202410-B,区域02,2024-10,试点业务,8,万元,合并经营收入,synthetic
R02-202411-A,区域02,2024-11,核心业务,107,万元,合并经营收入,synthetic
R02-202411-B,区域02,2024-11,试点业务,9,万元,合并经营收入,synthetic
R02-202412-A,区域02,2024-12,核心业务,110,万元,合并经营收入,synthetic
R02-202412-B,区域02,2024-12,试点业务,9,万元,合并经营收入,synthetic
R02-202501-A,区域02,2025-01,核心业务,77,万元,合并经营收入,synthetic
R02-202501-B,区域02,2025-01,试点业务,8,万元,合并经营收入,synthetic
R02-202502-A,区域02,2025-02,核心业务,80,万元,合并经营收入,synthetic
R02-202502-B,区域02,2025-02,试点业务,8,万元,合并经营收入,synthetic
R02-202503-A,区域02,2025-03,核心业务,83,万元,合并经营收入,synthetic
R02-202503-B,区域02,2025-03,试点业务,8,万元,合并经营收入,synthetic
R02-202504-A,区域02,2025-04,核心业务,86,万元,合并经营收入,synthetic
R02-202504-B,区域02,2025-04,试点业务,9,万元,合并经营收入,synthetic
R02-202505-A,区域02,2025-05,核心业务,89,万元,合并经营收入,synthetic
R02-202505-B,区域02,2025-05,试点业务,9,万元,合并经营收入,synthetic
R02-202506-A,区域02,2025-06,核心业务,92,万元,合并经营收入,synthetic
R02-202506-B,区域02,2025-06,试点业务,9,万元,合并经营收入,synthetic
R02-202507-A,区域02,2025-07,核心业务,95,万元,合并经营收入,synthetic
R02-202507-B,区域02,2025-07,试点业务,10,万元,合并经营收入,synthetic
R02-202508-A,区域02,2025-08,核心业务,98,万元,合并经营收入,synthetic
R02-202508-B,区域02,2025-08,试点业务,10,万元,合并经营收入,synthetic
R02-202509-A,区域02,2025-09,核心业务,101,万元,合并经营收入,synthetic
R02-202509-B,区域02,2025-09,试点业务,10,万元,合并经营收入,synthetic
R02-202510-A,区域02,2025-10,核心业务,104,万元,合并经营收入,synthetic
R02-202510-B,区域02,2025-10,试点业务,10,万元,合并经营收入,synthetic
R02-202511-A,区域02,2025-11,核心业务,107,万元,合并经营收入,synthetic
R02-202511-B,区域02,2025-11,试点业务,11,万元,合并经营收入,synthetic
R02-202512-A,区域02,2025-12,核心业务,110,万元,合并经营收入,synthetic
R02-202512-B,区域02,2025-12,试点业务,11,万元,合并经营收入,synthetic
R03-202401-A,区域03,2024-01,核心业务,84,万元,合并经营收入,synthetic
R03-202401-B,区域03,2024-01,试点业务,7,万元,合并经营收入,synthetic
R03-202402-A,区域03,2024-02,核心业务,87,万元,合并经营收入,synthetic
R03-202402-B,区域03,2024-02,试点业务,7,万元,合并经营收入,synthetic
R03-202403-A,区域03,2024-03,核心业务,90,万元,合并经营收入,synthetic
R03-202403-B,区域03,2024-03,试点业务,7,万元,合并经营收入,synthetic
R03-202404-A,区域03,2024-04,核心业务,93,万元,合并经营收入,synthetic
R03-202404-B,区域03,2024-04,试点业务,7,万元,合并经营收入,synthetic
R03-202405-A,区域03,2024-05,核心业务,96,万元,合并经营收入,synthetic
R03-202405-B,区域03,2024-05,试点业务,8,万元,合并经营收入,synthetic
R03-202406-A,区域03,2024-06,核心业务,99,万元,合并经营收入,synthetic
R03-202406-B,区域03,2024-06,试点业务,8,万元,合并经营收入,synthetic
R03-202407-A,区域03,2024-07,核心业务,102,万元,合并经营收入,synthetic
R03-202407-B,区域03,2024-07,试点业务,8,万元,合并经营收入,synthetic
R03-202408-A,区域03,2024-08,核心业务,105,万元,合并经营收入,synthetic
R03-202408-B,区域03,2024-08,试点业务,8,万元,合并经营收入,synthetic
R03-202409-A,区域03,2024-09,核心业务,108,万元,合并经营收入,synthetic
R03-202409-B,区域03,2024-09,试点业务,9,万元,合并经营收入,synthetic
R03-202410-A,区域03,2024-10,核心业务,111,万元,合并经营收入,synthetic
R03-202410-B,区域03,2024-10,试点业务,9,万元,合并经营收入,synthetic
R03-202411-A,区域03,2024-11,核心业务,114,万元,合并经营收入,synthetic
R03-202411-B,区域03,2024-11,试点业务,9,万元,合并经营收入,synthetic
R03-202412-A,区域03,2024-12,核心业务,117,万元,合并经营收入,synthetic
R03-202412-B,区域03,2024-12,试点业务,9,万元,合并经营收入,synthetic
R03-202501-A,区域03,2025-01,核心业务,87,万元,合并经营收入,synthetic
R03-202501-B,区域03,2025-01,试点业务,8,万元,合并经营收入,synthetic
R03-202502-A,区域03,2025-02,核心业务,90,万元,合并经营收入,synthetic
R03-202502-B,区域03,2025-02,试点业务,9,万元,合并经营收入,synthetic
R03-202503-A,区域03,2025-03,核心业务,93,万元,合并经营收入,synthetic
R03-202503-B,区域03,2025-03,试点业务,9,万元,合并经营收入,synthetic
R03-202504-A,区域03,2025-04,核心业务,96,万元,合并经营收入,synthetic
R03-202504-B,区域03,2025-04,试点业务,9,万元,合并经营收入,synthetic
R03-202505-A,区域03,2025-05,核心业务,99,万元,合并经营收入,synthetic
R03-202505-B,区域03,2025-05,试点业务,10,万元,合并经营收入,synthetic
R03-202506-A,区域03,2025-06,核心业务,102,万元,合并经营收入,synthetic
R03-202506-B,区域03,2025-06,试点业务,10,万元,合并经营收入,synthetic
R03-202507-A,区域03,2025-07,核心业务,106,万元,合并经营收入,synthetic
R03-202507-B,区域03,2025-07,试点业务,10,万元,合并经营收入,synthetic
R03-202508-A,区域03,2025-08,核心业务,109,万元,合并经营收入,synthetic
R03-202508-B,区域03,2025-08,试点业务,11,万元,合并经营收入,synthetic
R03-202509-A,区域03,2025-09,核心业务,112,万元,合并经营收入,synthetic
R03-202509-B,区域03,2025-09,试点业务,11,万元,合并经营收入,synthetic
R03-202510-A,区域03,2025-10,核心业务,115,万元,合并经营收入,synthetic
R03-202510-B,区域03,2025-10,试点业务,11,万元,合并经营收入,synthetic
R03-202511-A,区域03,2025-11,核心业务,118,万元,合并经营收入,synthetic
R03-202511-B,区域03,2025-11,试点业务,11,万元,合并经营收入,synthetic
R03-202512-A,区域03,2025-12,核心业务,121,万元,合并经营收入,synthetic
R03-202512-B,区域03,2025-12,试点业务,12,万元,合并经营收入,synthetic
R04-202401-A,区域04,2024-01,核心业务,91,万元,合并经营收入,synthetic
R04-202401-B,区域04,2024-01,试点业务,7,万元,合并经营收入,synthetic
R04-202402-A,区域04,2024-02,核心业务,94,万元,合并经营收入,synthetic
R04-202402-B,区域04,2024-02,试点业务,8,万元,合并经营收入,synthetic
R04-202403-A,区域04,2024-03,核心业务,97,万元,合并经营收入,synthetic
R04-202403-B,区域04,2024-03,试点业务,8,万元,合并经营收入,synthetic
R04-202404-A,区域04,2024-04,核心业务,100,万元,合并经营收入,synthetic
R04-202404-B,区域04,2024-04,试点业务,8,万元,合并经营收入,synthetic
R04-202405-A,区域04,2024-05,核心业务,103,万元,合并经营收入,synthetic
R04-202405-B,区域04,2024-05,试点业务,8,万元,合并经营收入,synthetic
R04-202406-A,区域04,2024-06,核心业务,106,万元,合并经营收入,synthetic
R04-202406-B,区域04,2024-06,试点业务,8,万元,合并经营收入,synthetic
R04-202407-A,区域04,2024-07,核心业务,109,万元,合并经营收入,synthetic
R04-202407-B,区域04,2024-07,试点业务,9,万元,合并经营收入,synthetic
R04-202408-A,区域04,2024-08,核心业务,112,万元,合并经营收入,synthetic
R04-202408-B,区域04,2024-08,试点业务,9,万元,合并经营收入,synthetic
R04-202409-A,区域04,2024-09,核心业务,115,万元,合并经营收入,synthetic
R04-202409-B,区域04,2024-09,试点业务,9,万元,合并经营收入,synthetic
R04-202410-A,区域04,2024-10,核心业务,118,万元,合并经营收入,synthetic
R04-202410-B,区域04,2024-10,试点业务,9,万元,合并经营收入,synthetic
R04-202411-A,区域04,2024-11,核心业务,121,万元,合并经营收入,synthetic
R04-202411-B,区域04,2024-11,试点业务,10,万元,合并经营收入,synthetic
R04-202412-A,区域04,2024-12,核心业务,124,万元,合并经营收入,synthetic
R04-202412-B,区域04,2024-12,试点业务,10,万元,合并经营收入,synthetic
R04-202501-A,区域04,2025-01,核心业务,97,万元,合并经营收入,synthetic
R04-202501-B,区域04,2025-01,试点业务,9,万元,合并经营收入,synthetic
R04-202502-A,区域04,2025-02,核心业务,101,万元,合并经营收入,synthetic
R04-202502-B,区域04,2025-02,试点业务,9,万元,合并经营收入,synthetic
R04-202503-A,区域04,2025-03,核心业务,104,万元,合并经营收入,synthetic
R04-202503-B,区域04,2025-03,试点业务,10,万元,合并经营收入,synthetic
R04-202504-A,区域04,2025-04,核心业务,107,万元,合并经营收入,synthetic
R04-202504-B,区域04,2025-04,试点业务,10,万元,合并经营收入,synthetic
R04-202505-A,区域04,2025-05,核心业务,110,万元,合并经营收入,synthetic
R04-202505-B,区域04,2025-05,试点业务,10,万元,合并经营收入,synthetic
R04-202506-A,区域04,2025-06,核心业务,113,万元,合并经营收入,synthetic
R04-202506-B,区域04,2025-06,试点业务,11,万元,合并经营收入,synthetic
R04-202507-A,区域04,2025-07,核心业务,117,万元,合并经营收入,synthetic
R04-202507-B,区域04,2025-07,试点业务,11,万元,合并经营收入,synthetic
R04-202508-A,区域04,2025-08,核心业务,120,万元,合并经营收入,synthetic
R04-202508-B,区域04,2025-08,试点业务,11,万元,合并经营收入,synthetic
R04-202509-A,区域04,2025-09,核心业务,123,万元,合并经营收入,synthetic
R04-202509-B,区域04,2025-09,试点业务,12,万元,合并经营收入,synthetic
R04-202510-A,区域04,2025-10,核心业务,126,万元,合并经营收入,synthetic
R04-202510-B,区域04,2025-10,试点业务,12,万元,合并经营收入,synthetic
R04-202511-A,区域04,2025-11,核心业务,129,万元,合并经营收入,synthetic
R04-202511-B,区域04,2025-11,试点业务,12,万元,合并经营收入,synthetic
R04-202512-A,区域04,2025-12,核心业务,133,万元,合并经营收入,synthetic
R04-202512-B,区域04,2025-12,试点业务,12,万元,合并经营收入,synthetic
R05-202401-A,区域05,2024-01,核心业务,98,万元,合并经营收入,synthetic
R05-202401-B,区域05,2024-01,试点业务,8,万元,合并经营收入,synthetic
R05-202402-A,区域05,2024-02,核心业务,101,万元,合并经营收入,synthetic
R05-202402-B,区域05,2024-02,试点业务,8,万元,合并经营收入,synthetic
R05-202403-A,区域05,2024-03,核心业务,104,万元,合并经营收入,synthetic
R05-202403-B,区域05,2024-03,试点业务,8,万元,合并经营收入,synthetic
R05-202404-A,区域05,2024-04,核心业务,107,万元,合并经营收入,synthetic
R05-202404-B,区域05,2024-04,试点业务,9,万元,合并经营收入,synthetic
R05-202405-A,区域05,2024-05,核心业务,110,万元,合并经营收入,synthetic
R05-202405-B,区域05,2024-05,试点业务,9,万元,合并经营收入,synthetic
R05-202406-A,区域05,2024-06,核心业务,113,万元,合并经营收入,synthetic
R05-202406-B,区域05,2024-06,试点业务,9,万元,合并经营收入,synthetic
R05-202407-A,区域05,2024-07,核心业务,116,万元,合并经营收入,synthetic
R05-202407-B,区域05,2024-07,试点业务,9,万元,合并经营收入,synthetic
R05-202408-A,区域05,2024-08,核心业务,119,万元,合并经营收入,synthetic
R05-202408-B,区域05,2024-08,试点业务,10,万元,合并经营收入,synthetic
R05-202409-A,区域05,2024-09,核心业务,122,万元,合并经营收入,synthetic
R05-202409-B,区域05,2024-09,试点业务,10,万元,合并经营收入,synthetic
R05-202410-A,区域05,2024-10,核心业务,125,万元,合并经营收入,synthetic
R05-202410-B,区域05,2024-10,试点业务,10,万元,合并经营收入,synthetic
R05-202411-A,区域05,2024-11,核心业务,128,万元,合并经营收入,synthetic
R05-202411-B,区域05,2024-11,试点业务,10,万元,合并经营收入,synthetic
R05-202412-A,区域05,2024-12,核心业务,131,万元,合并经营收入,synthetic
R05-202412-B,区域05,2024-12,试点业务,10,万元,合并经营收入,synthetic
R05-202501-A,区域05,2025-01,核心业务,108,万元,合并经营收入,synthetic
R05-202501-B,区域05,2025-01,试点业务,10,万元,合并经营收入,synthetic
R05-202502-A,区域05,2025-02,核心业务,112,万元,合并经营收入,synthetic
R05-202502-B,区域05,2025-02,试点业务,10,万元,合并经营收入,synthetic
R05-202503-A,区域05,2025-03,核心业务,115,万元,合并经营收入,synthetic
R05-202503-B,区域05,2025-03,试点业务,10,万元,合并经营收入,synthetic
R05-202504-A,区域05,2025-04,核心业务,118,万元,合并经营收入,synthetic
R05-202504-B,区域05,2025-04,试点业务,11,万元,合并经营收入,synthetic
R05-202505-A,区域05,2025-05,核心业务,122,万元,合并经营收入,synthetic
R05-202505-B,区域05,2025-05,试点业务,11,万元,合并经营收入,synthetic
R05-202506-A,区域05,2025-06,核心业务,125,万元,合并经营收入,synthetic
R05-202506-B,区域05,2025-06,试点业务,11,万元,合并经营收入,synthetic
R05-202507-A,区域05,2025-07,核心业务,128,万元,合并经营收入,synthetic
R05-202507-B,区域05,2025-07,试点业务,12,万元,合并经营收入,synthetic
R05-202508-A,区域05,2025-08,核心业务,131,万元,合并经营收入,synthetic
R05-202508-B,区域05,2025-08,试点业务,12,万元,合并经营收入,synthetic
R05-202509-A,区域05,2025-09,核心业务,135,万元,合并经营收入,synthetic
R05-202509-B,区域05,2025-09,试点业务,12,万元,合并经营收入,synthetic
R05-202510-A,区域05,2025-10,核心业务,138,万元,合并经营收入,synthetic
R05-202510-B,区域05,2025-10,试点业务,13,万元,合并经营收入,synthetic
R05-202511-A,区域05,2025-11,核心业务,141,万元,合并经营收入,synthetic
R05-202511-B,区域05,2025-11,试点业务,13,万元,合并经营收入,synthetic
R05-202512-A,区域05,2025-12,核心业务,145,万元,合并经营收入,synthetic
R05-202512-B,区域05,2025-12,试点业务,13,万元,合并经营收入,synthetic
R06-202401-A,区域06,2024-01,核心业务,105,万元,合并经营收入,synthetic
R06-202401-B,区域06,2024-01,试点业务,8,万元,合并经营收入,synthetic
R06-202402-A,区域06,2024-02,核心业务,108,万元,合并经营收入,synthetic
R06-202402-B,区域06,2024-02,试点业务,9,万元,合并经营收入,synthetic
R06-202403-A,区域06,2024-03,核心业务,111,万元,合并经营收入,synthetic
R06-202403-B,区域06,2024-03,试点业务,9,万元,合并经营收入,synthetic
R06-202404-A,区域06,2024-04,核心业务,114,万元,合并经营收入,synthetic
R06-202404-B,区域06,2024-04,试点业务,9,万元,合并经营收入,synthetic
R06-202405-A,区域06,2024-05,核心业务,117,万元,合并经营收入,synthetic
R06-202405-B,区域06,2024-05,试点业务,9,万元,合并经营收入,synthetic
R06-202406-A,区域06,2024-06,核心业务,120,万元,合并经营收入,synthetic
R06-202406-B,区域06,2024-06,试点业务,10,万元,合并经营收入,synthetic
R06-202407-A,区域06,2024-07,核心业务,123,万元,合并经营收入,synthetic
R06-202407-B,区域06,2024-07,试点业务,10,万元,合并经营收入,synthetic
R06-202408-A,区域06,2024-08,核心业务,126,万元,合并经营收入,synthetic
R06-202408-B,区域06,2024-08,试点业务,10,万元,合并经营收入,synthetic
R06-202409-A,区域06,2024-09,核心业务,129,万元,合并经营收入,synthetic
R06-202409-B,区域06,2024-09,试点业务,10,万元,合并经营收入,synthetic
R06-202410-A,区域06,2024-10,核心业务,132,万元,合并经营收入,synthetic
R06-202410-B,区域06,2024-10,试点业务,11,万元,合并经营收入,synthetic
R06-202411-A,区域06,2024-11,核心业务,135,万元,合并经营收入,synthetic
R06-202411-B,区域06,2024-11,试点业务,11,万元,合并经营收入,synthetic
R06-202412-A,区域06,2024-12,核心业务,138,万元,合并经营收入,synthetic
R06-202412-B,区域06,2024-12,试点业务,11,万元,合并经营收入,synthetic
R06-202501-A,区域06,2025-01,核心业务,120,万元,合并经营收入,synthetic
R06-202501-B,区域06,2025-01,试点业务,11,万元,合并经营收入,synthetic
R06-202502-A,区域06,2025-02,核心业务,123,万元,合并经营收入,synthetic
R06-202502-B,区域06,2025-02,试点业务,11,万元,合并经营收入,synthetic
R06-202503-A,区域06,2025-03,核心业务,127,万元,合并经营收入,synthetic
R06-202503-B,区域06,2025-03,试点业务,11,万元,合并经营收入,synthetic
R06-202504-A,区域06,2025-04,核心业务,130,万元,合并经营收入,synthetic
R06-202504-B,区域06,2025-04,试点业务,11,万元,合并经营收入,synthetic
R06-202505-A,区域06,2025-05,核心业务,133,万元,合并经营收入,synthetic
R06-202505-B,区域06,2025-05,试点业务,12,万元,合并经营收入,synthetic
R06-202506-A,区域06,2025-06,核心业务,137,万元,合并经营收入,synthetic
R06-202506-B,区域06,2025-06,试点业务,12,万元,合并经营收入,synthetic
R06-202507-A,区域06,2025-07,核心业务,140,万元,合并经营收入,synthetic
R06-202507-B,区域06,2025-07,试点业务,12,万元,合并经营收入,synthetic
R06-202508-A,区域06,2025-08,核心业务,144,万元,合并经营收入,synthetic
R06-202508-B,区域06,2025-08,试点业务,13,万元,合并经营收入,synthetic
R06-202509-A,区域06,2025-09,核心业务,147,万元,合并经营收入,synthetic
R06-202509-B,区域06,2025-09,试点业务,13,万元,合并经营收入,synthetic
R06-202510-A,区域06,2025-10,核心业务,150,万元,合并经营收入,synthetic
R06-202510-B,区域06,2025-10,试点业务,13,万元,合并经营收入,synthetic
R06-202511-A,区域06,2025-11,核心业务,154,万元,合并经营收入,synthetic
R06-202511-B,区域06,2025-11,试点业务,14,万元,合并经营收入,synthetic
R06-202512-A,区域06,2025-12,核心业务,157,万元,合并经营收入,synthetic
R06-202512-B,区域06,2025-12,试点业务,14,万元,合并经营收入,synthetic
R07-202401-A,区域07,2024-01,核心业务,112,万元,合并经营收入,synthetic
R07-202401-B,区域07,2024-01,试点业务,9,万元,合并经营收入,synthetic
R07-202402-A,区域07,2024-02,核心业务,115,万元,合并经营收入,synthetic
R07-202402-B,区域07,2024-02,试点业务,9,万元,合并经营收入,synthetic
R07-202403-A,区域07,2024-03,核心业务,118,万元,合并经营收入,synthetic
R07-202403-B,区域07,2024-03,试点业务,9,万元,合并经营收入,synthetic
R07-202404-A,区域07,2024-04,核心业务,121,万元,合并经营收入,synthetic
R07-202404-B,区域07,2024-04,试点业务,10,万元,合并经营收入,synthetic
R07-202405-A,区域07,2024-05,核心业务,124,万元,合并经营收入,synthetic
R07-202405-B,区域07,2024-05,试点业务,10,万元,合并经营收入,synthetic
R07-202406-A,区域07,2024-06,核心业务,127,万元,合并经营收入,synthetic
R07-202406-B,区域07,2024-06,试点业务,10,万元,合并经营收入,synthetic
R07-202407-A,区域07,2024-07,核心业务,130,万元,合并经营收入,synthetic
R07-202407-B,区域07,2024-07,试点业务,10,万元,合并经营收入,synthetic
R07-202408-A,区域07,2024-08,核心业务,133,万元,合并经营收入,synthetic
R07-202408-B,区域07,2024-08,试点业务,11,万元,合并经营收入,synthetic
R07-202409-A,区域07,2024-09,核心业务,136,万元,合并经营收入,synthetic
R07-202409-B,区域07,2024-09,试点业务,11,万元,合并经营收入,synthetic
R07-202410-A,区域07,2024-10,核心业务,139,万元,合并经营收入,synthetic
R07-202410-B,区域07,2024-10,试点业务,11,万元,合并经营收入,synthetic
R07-202411-A,区域07,2024-11,核心业务,142,万元,合并经营收入,synthetic
R07-202411-B,区域07,2024-11,试点业务,11,万元,合并经营收入,synthetic
R07-202412-A,区域07,2024-12,核心业务,145,万元,合并经营收入,synthetic
R07-202412-B,区域07,2024-12,试点业务,12,万元,合并经营收入,synthetic
R07-202501-A,区域07,2025-01,核心业务,104,万元,合并经营收入,synthetic
R07-202501-B,区域07,2025-01,试点业务,11,万元,合并经营收入,synthetic
R07-202502-A,区域07,2025-02,核心业务,107,万元,合并经营收入,synthetic
R07-202502-B,区域07,2025-02,试点业务,12,万元,合并经营收入,synthetic
R07-202503-A,区域07,2025-03,核心业务,110,万元,合并经营收入,synthetic
R07-202503-B,区域07,2025-03,试点业务,12,万元,合并经营收入,synthetic
R07-202504-A,区域07,2025-04,核心业务,113,万元,合并经营收入,synthetic
R07-202504-B,区域07,2025-04,试点业务,12,万元,合并经营收入,synthetic
R07-202505-A,区域07,2025-05,核心业务,115,万元,合并经营收入,synthetic
R07-202505-B,区域07,2025-05,试点业务,12,万元,合并经营收入,synthetic
R07-202506-A,区域07,2025-06,核心业务,118,万元,合并经营收入,synthetic
R07-202506-B,区域07,2025-06,试点业务,13,万元,合并经营收入,synthetic
R07-202507-A,区域07,2025-07,核心业务,121,万元,合并经营收入,synthetic
R07-202507-B,区域07,2025-07,试点业务,13,万元,合并经营收入,synthetic
R07-202508-A,区域07,2025-08,核心业务,124,万元,合并经营收入,synthetic
R07-202508-B,区域07,2025-08,试点业务,13,万元,合并经营收入,synthetic
R07-202509-A,区域07,2025-09,核心业务,126,万元,合并经营收入,synthetic
R07-202509-B,区域07,2025-09,试点业务,14,万元,合并经营收入,synthetic
R07-202510-A,区域07,2025-10,核心业务,129,万元,合并经营收入,synthetic
R07-202510-B,区域07,2025-10,试点业务,14,万元,合并经营收入,synthetic
R07-202511-A,区域07,2025-11,核心业务,132,万元,合并经营收入,synthetic
R07-202511-B,区域07,2025-11,试点业务,14,万元,合并经营收入,synthetic
R07-202512-A,区域07,2025-12,核心业务,135,万元,合并经营收入,synthetic
R07-202512-B,区域07,2025-12,试点业务,15,万元,合并经营收入,synthetic
R08-202401-A,区域08,2024-01,核心业务,119,万元,合并经营收入,synthetic
R08-202401-B,区域08,2024-01,试点业务,10,万元,合并经营收入,synthetic
R08-202402-A,区域08,2024-02,核心业务,122,万元,合并经营收入,synthetic
R08-202402-B,区域08,2024-02,试点业务,10,万元,合并经营收入,synthetic
R08-202403-A,区域08,2024-03,核心业务,125,万元,合并经营收入,synthetic
R08-202403-B,区域08,2024-03,试点业务,10,万元,合并经营收入,synthetic
R08-202404-A,区域08,2024-04,核心业务,128,万元,合并经营收入,synthetic
R08-202404-B,区域08,2024-04,试点业务,10,万元,合并经营收入,synthetic
R08-202405-A,区域08,2024-05,核心业务,131,万元,合并经营收入,synthetic
R08-202405-B,区域08,2024-05,试点业务,10,万元,合并经营收入,synthetic
R08-202406-A,区域08,2024-06,核心业务,134,万元,合并经营收入,synthetic
R08-202406-B,区域08,2024-06,试点业务,11,万元,合并经营收入,synthetic
R08-202407-A,区域08,2024-07,核心业务,137,万元,合并经营收入,synthetic
R08-202407-B,区域08,2024-07,试点业务,11,万元,合并经营收入,synthetic
R08-202408-A,区域08,2024-08,核心业务,140,万元,合并经营收入,synthetic
R08-202408-B,区域08,2024-08,试点业务,11,万元,合并经营收入,synthetic
R08-202409-A,区域08,2024-09,核心业务,143,万元,合并经营收入,synthetic
R08-202409-B,区域08,2024-09,试点业务,11,万元,合并经营收入,synthetic
R08-202410-A,区域08,2024-10,核心业务,146,万元,合并经营收入,synthetic
R08-202410-B,区域08,2024-10,试点业务,12,万元,合并经营收入,synthetic
R08-202411-A,区域08,2024-11,核心业务,149,万元,合并经营收入,synthetic
